Agreeableness,Conscientiousness,Extraversion,Resiliency,Honesty,Originality,Charity,Economists,Engineers,Maths,Social,STEM,Male,MSB,Private,Raven,RavenTime,TimesMPL1,TimesMPL2,TimesMPL3,TimesMPL4,TimesMPL5,TimesMPL6,TimesMPL7,TimesMPL8,TimesMPL9,TimesMPL10,TimesMPL11,SP,WIN,Group,Age,German,GermanLang
47.5,57.5,67.5,45,52.5,60,0,1,0,0,0,0,1,0,1,7,230.250999999999,7.5,7.18799999999998,4.46899999999999,5.03199999999998,1.98399999999998,3.20300000000003,4.79599999999999,5.156,1.68700000000001,2.18799999999998,2.84399999999999,2,1,13,20,0,1
47.5,72.5,70,62.5,80,70,0,0,0,1,0,1,0,0,-1,6,285.685999999999,9.98500000000001,4.781,23.8899999999999,8.35899999999998,4.17200000000002,3.82800000000003,2.23399999999998,4.82799999999997,2.78100000000006,2.73399999999992,2.70299999999997,3,1,13,30,1,1
60,62.5,67.5,40,72.5,65,0,0,0,0,1,0,0,0,-1,5,95.2489999999999,12.7339999999999,3.40699999999998,3.51600000000002,4.5,7.15699999999998,4.64100000000002,1.89099999999996,4.09399999999999,2.96800000000001,2.31200000000001,3.125,2,1,13,29,1,1
52.5,52.5,72.5,35,60,70,0,0,1,0,0,1,0,0,1,7,245.841999999999,11.235,6.89100000000002,2.04700000000002,2.60899999999998,9.281,4.28200000000003,1.71900000000005,1.42200000000002,3.14100000000002,1.579,1.29700000000002,4,0,13,24,1,1
52.5,50,67.5,67.5,50,67.5,0,1,0,0,0,0,1,0,-1,6,186.534,27.234,9.71899999999999,2.406,2.25,1.34399999999999,1.32800000000003,1.21899999999999,1.39099999999996,1.86000000000001,1.92199999999996,1.579,0,1,13,30,1,1
52.5,62.5,82.5,47.5,62.5,77.5,0,1,0,0,0,0,1,0,-1,8,301.263999999999,4.56299999999998,2.68799999999998,2.61000000000001,1.45299999999997,1.42200000000002,3.81299999999998,1.51599999999996,1.64100000000002,1.43799999999998,1.67199999999996,1.84300000000001,2,1,13,36,0,1
67.5,72.5,60,92.5,85,82.5,0,0,0,0,1,0,1,0,-1,4,262.249,8.95299999999997,11,4.48400000000003,6.29700000000002,4.82800000000003,5.01600000000002,7.54700000000002,3.67200000000002,2.84399999999993,2.51600000000007,4.875,5,1,13,34,1,1
35,45,42.5,57.5,45,52.5,0,0,1,0,0,1,1,1,-1,5,188,25.156,10.172,5.21899999999999,6.82800000000003,7.18700000000001,2.29700000000002,1.56299999999998,3.21899999999993,1.84400000000005,1.18799999999998,3.75,3,1,13,24,0,1
57.5,67.5,52.5,85,85,50,0,0,0,0,1,0,1,0,1,8,214.985,16.4839999999999,8.53200000000003,3.40599999999994,4.38999999999998,5.01600000000002,3.43799999999998,2.53099999999994,2.35899999999998,1.82800000000003,2.57800000000003,2.781,3,1,13,43,1,1
70,67.5,72.5,75,70,65,1,1,0,0,0,0,1,0,-1,5,185.907,66.4059999999999,5.96899999999993,1.81199999999989,1.59299999999996,1.53099999999994,1.34299999999996,1.18700000000001,1.32799999999997,1.125,1.51600000000007,2.20300000000008,0,1,2,21,1,1
